name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The State of Things,,Drama,1982,"February 18, 1983 (United States)",7.0,3000.0,Wim Wenders,Robert Kramer,Allen Garfield,West Germany,,3700.0,Gray City,121.0
Jekyll and Hyde... Together Again,R,Sci-Fi,1982,"October 1, 1982 (United States)",6.2,1100.0,Jerry Belson,Monica Mcgowan Johnson,Mark Blankfield,United States,5000000.0,3792188.0,Paramount Pictures,87.0
Forced Vengeance,R,Action,1982,"July 30, 1982 (United States)",5.6,2900.0,James Fargo,Franklin Thompson,Chuck Norris,United States,5000000.0,6660333.0,Metro-Goldwyn-Mayer (MGM),90.0
The Missionary,R,Comedy,1982,"November 5, 1982 (United States)",6.2,2100.0,Richard Loncraine,Michael Palin,Michael Palin,United Kingdom,,7241180.0,HandMade Films,90.0
The Escape Artist,PG,Comedy,1982,"May 28, 1982 (United States)",6.2,683.0,Caleb Deschanel,David Wagoner,Raul Julia,United States,,143369.0,Zoetrope Studios,94.0
Night Crossing,PG,Drama,1982,"February 5, 1982 (United States)",6.5,1300.0,Delbert Mann,John McGreevey,John Hurt,United Kingdom,10000000.0,8000000.0,Walt Disney Productions,107.0
Endangered Species,R,Drama,1982,"September 10, 1982 (United States)",5.9,914.0,Alan Rudolph,Judd Klinger,Robert Urich,United States,,1474249.0,Alive Enterprises,97.0
Things Are Tough All Over,R,Action,1982,"August 4, 1982 (United States)",6.0,3100.0,Thomas K. Avildsen,Cheech Marin,Toni Attell,United States,7000000.0,21134374.0,C & C Brown Production,90.0
Homework,R,Comedy,1982,"August 27, 1982 (United States)",3.5,322.0,James Beshears,Maurice Peterson,Joan Collins,United States,,2914328.0,Jensen Farley Pictures,90.0
Jinxed!,R,Comedy,1982,"October 22, 1982 (United States)",4.7,984.0,Don Siegel,Frank D. Gilroy,Bette Midler,United States,13400000.0,2869638.0,Herb Jaffe,103.0
The Return of Martin Guerre,Not Rated,Biography,1982,"August 26, 1983 (United States)",7.4,4100.0,Daniel Vigne,Jean-Claude Carrière,Gérard Depardieu,France,,3723036.0,S.F.P.C.,112.0
They Call Me Bruce,PG,Action,1982,"November 12, 1982 (United States)",5.7,1500.0,Elliott Hong,David Randolph,Johnny Yune,United States,,16894678.0,Gold Pine Productions,87.0
Some Kind of Hero,R,Comedy,1982,"April 2, 1982 (United States)",5.8,1400.0,Michael Pressman,Robert Boris,Richard Pryor,United States,,23671186.0,Paramount Pictures,97.0
Hammett,PG,Crime,1982,"September 17, 1982 (United States)",6.5,3000.0,Wim Wenders,Joe Gores,Frederic Forrest,United States,,42914.0,Orion Pictures,97.0
Five Days One Summer,PG,Drama,1982,1982 (Japan),6.1,1000.0,Fred Zinnemann,Michael Austin,Sean Connery,United States,15000000.0,199078.0,Cable and Wireless Finance,108.0
Penitentiary II,R,Crime,1982,"April 2, 1982 (United States)",4.4,538.0,Jamaa Fanaka,Jamaa Fanaka,Leon Isaac Kennedy,United States,,3178542.0,Bob-Bea Productions,108.0
If You Could See What I Hear,PG,Biography,1982,"April 23, 1982 (United States)",6.8,785.0,Eric Till,Stuart Gillard,Marc Singer,Canada,,8693512.0,Cypress Grove,103.0
Partners,R,Comedy,1982,"April 30, 1982 (United States)",5.3,1200.0,James Burrows,Francis Veber,Ryan O'Neal,United States,6000000.0,6062898.0,Paramount Pictures,93.0
Richard Pryor: Live on the Sunset Strip,R,Comedy,1982,"March 12, 1982 (United States)",7.7,3900.0,Joe Layton,Paul Mooney,Richard Pryor,United States,,36299720.0,Columbia Pictures,82.0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,1982,"November 19, 1982 (United States)",7.1,1800.0,Directors,John W. Dunn,Mel Blanc,United States,,78350.0,Warner Bros. Animation,74.0
Monsignor,R,Crime,1982,"October 22, 1982 (United States)",5.1,838.0,Frank Perry,Jack-Alain Léger,Christopher Reeve,United States,,12408066.0,Frank Yablans Presentations,121.0
"Yes, Giorgio",PG,Comedy,1982,"September 24, 1982 (United States)",3.9,653.0,Franklin J. Schaffner,Anne Piper,Luciano Pavarotti,United States,19000000.0,2279543.0,Metro-Goldwyn-Mayer (MGM),110.0
I Ought to Be in Pictures,PG,Comedy,1982,"March 26, 1982 (United States)",6.2,895.0,Herbert Ross,Neil Simon,Walter Matthau,United States,,6968359.0,Twentieth Century Fox,108.0
La traviata,G,Drama,1982,"February 18, 1983 (Italy)",7.2,1300.0,Franco Zeffirelli,Francesco Maria Piave,Teresa Stratas,Netherlands,,3783329.0,Accent Films B.V.,109.0
Fighting Back,R,Action,1982,"May 21, 1982 (United States)",6.1,460.0,Lewis Teague,Thomas Hedley Jr.,Tom Skerritt,United States,,3355948.0,Permut Presentations,98.0
Kamikaze 89,Not Rated,Sci-Fi,1982,"July 16, 1982 (West Germany)",5.8,665.0,Wolf Gremm,Robert Katz,Rainer Werner Fassbinder,West Germany,,22440.0,Regina Ziegler Filmproduktion,106.0
The Wizard of Oz,Not Rated,Animation,1982,"October 6, 1982 (United States)",6.8,352.0,Fumihiko Takayama,Yoshimitsu Banno,Aileen Quinn,United States,,,Alan Enterprises,78.0
Heidi's Song,G,Animation,1982,"November 19, 1982 (United States)",6.3,256.0,Robert Taylor,Joseph Barbera,Lorne Greene,United States,,5124391.0,Hanna-Barbera Productions,94.0
Love Child,R,Crime,1982,"October 15, 1982 (United States)",5.7,253.0,Larry Peerce,Anne Gerard,Amy Madigan,United States,,,The Ladd Company,96.0
Boardinghouse,R,Comedy,1982,"October 21, 1983 (United States)",3.8,651.0,John Wintergate,John Wintergate,John Wintergate,United States,10000.0,,Blustarr,98.0
Experience Preferred... But Not Essential,PG,Drama,1982,"December 22, 1982 (United Kingdom)",7.0,240.0,Peter Duffell,June Roberts,Elizabeth Edmonds,United Kingdom,,,Channel Four Film,80.0
The Personals,PG,Comedy,1982,October 1982 (United States),6.7,75.0,Peter Markle,Peter Markle,Bill Schoppert,United States,435000.0,,Blueline Productions,90.0
Lonely Hearts,R,Comedy,1982,"October 21, 1982 (Australia)",6.8,336.0,Paul Cox,Paul Cox,Wendy Hughes,Australia,,777087.0,Adam Packer Film Productions,106.0
Scarface,R,Crime,1983,"December 9, 1983 (United States)",8.3,766000.0,Brian De Palma,Oliver Stone,Al Pacino,United States,25000000.0,65884703.0,Universal Pictures,170.0
The Outsiders,PG,Crime,1983,"March 25, 1983 (United States)",7.1,78000.0,Francis Ford Coppola,Kathleen Rowell,C. Thomas Howell,United States,10000000.0,25697647.0,Zoetrope Studios,91.0
Star Wars: Episode VI - Return of the Jedi,PG,Action,1983,"May 25, 1983 (United States)",8.3,973000.0,Richard Marquand,Lawrence Kasdan,Mark Hamill,United States,32500000.0,475106177.0,Lucasfilm,131.0
Risky Business,R,Comedy,1983,"August 5, 1983 (United States)",6.8,83000.0,Paul Brickman,Paul Brickman,Tom Cruise,United States,6200000.0,63541777.0,The Geffen Company,99.0
National Lampoon's Vacation,R,Adventure,1983,"July 29, 1983 (United States)",7.4,100000.0,Harold Ramis,John Hughes,Chevy Chase,United States,15000000.0,61399552.0,National Lampoon,98.0
Trading Places,R,Comedy,1983,"June 8, 1983 (United States)",7.5,141000.0,John Landis,Timothy Harris,Eddie Murphy,United States,15000000.0,90404800.0,Cinema Group Ventures,116.0
Superman III,PG,Action,1983,"June 17, 1983 (United States)",5.0,66000.0,Richard Lester,Jerry Siegel,Christopher Reeve,France,39000000.0,59950623.0,Dovemead Films,125.0
The Big Chill,R,Comedy,1983,"September 30, 1983 (United States)",7.2,34000.0,Lawrence Kasdan,Lawrence Kasdan,Tom Berenger,United States,8000000.0,56399659.0,Columbia Pictures,105.0
Staying Alive,PG,Drama,1983,"July 15, 1983 (United States)",4.7,15000.0,Sylvester Stallone,Nik Cohn,John Travolta,United States,22000000.0,64892670.0,Paramount Pictures,93.0
Jaws 3-D,PG,Adventure,1983,"July 22, 1983 (United States)",3.7,41000.0,Joe Alves,Peter Benchley,Dennis Quaid,United States,20500000.0,87987055.0,Universal Pictures,99.0
Christine,R,Horror,1983,"December 9, 1983 (United States)",6.7,75000.0,John Carpenter,Stephen King,Keith Gordon,United States,9700000.0,21017849.0,Columbia Pictures,110.0
Sleepaway Camp,R,Horror,1983,"November 18, 1983 (United States)",6.3,28000.0,Robert Hiltzik,Robert Hiltzik,Felissa Rose,United States,350000.0,,American Eagle Films,84.0
Flashdance,R,Drama,1983,"April 15, 1983 (United States)",6.2,50000.0,Adrian Lyne,Thomas Hedley Jr.,Jennifer Beals,United States,4000000.0,92921203.0,Paramount Pictures,95.0
WarGames,PG,Action,1983,"June 3, 1983 (United States)",7.1,93000.0,John Badham,Lawrence Lasker,Matthew Broderick,United States,12000000.0,79567667.0,United Artists,114.0
The Right Stuff,PG,Adventure,1983,"February 17, 1984 (United States)",7.8,57000.0,Philip Kaufman,Philip Kaufman,Sam Shepard,United States,27000000.0,21192315.0,The Ladd Company,193.0
Krull,PG,Action,1983,"July 29, 1983 (United States)",6.1,31000.0,Peter Yates,Stanford Sherman,Ken Marshall,United Kingdom,47000000.0,16916617.0,Columbia Pictures,121.0
Spring Break,R,Comedy,1983,"March 25, 1983 (United States)",4.9,2800.0,Sean S. Cunningham,David Smilow,David Knell,United States,,24071666.0,Columbia Pictures,102.0
The Dead Zone,R,Drama,1983,"October 21, 1983 (United States)",7.2,65000.0,David Cronenberg,Jeffrey Boam,Christopher Walken,United States,10000000.0,20766616.0,Dino De Laurentiis Company,103.0
Octopussy,PG,Action,1983,"June 10, 1983 (United States)",6.5,98000.0,John Glen,George MacDonald Fraser,Roger Moore,United Kingdom,27500000.0,67893619.0,United Artists,131.0
Private School,R,Comedy,1983,"July 29, 1983 (United States)",5.3,6100.0,Noel Black,Dan Greenburg,Phoebe Cates,United States,3500000.0,14049540.0,Unity Productions,89.0
Valley Girl,R,Comedy,1983,"April 29, 1983 (United States)",6.4,14000.0,Martha Coolidge,Andrew Lane,Nicolas Cage,United States,350000.0,17343596.0,Atlantic Entertainment Group,99.0
Rumble Fish,R,Crime,1983,"October 21, 1983 (United States)",7.2,32000.0,Francis Ford Coppola,S.E. Hinton,Matt Dillon,United States,10000000.0,2494480.0,Zoetrope Studios,94.0
Videodrome,R,Horror,1983,"February 4, 1983 (United States)",7.2,86000.0,David Cronenberg,David Cronenberg,James Woods,Canada,5952000.0,2120439.0,Filmplan International,87.0
Terms of Endearment,PG,Comedy,1983,"December 9, 1983 (United States)",7.4,57000.0,James L. Brooks,Larry McMurtry,Shirley MacLaine,United States,8000000.0,108423749.0,Paramount Pictures,132.0
Twilight Zone: The Movie,PG,Horror,1983,"June 24, 1983 (United States)",6.5,34000.0,Directors,John Landis,Dan Aykroyd,United States,10000000.0,29450919.0,Amblin Entertainment,101.0
Never Say Never Again,PG,Action,1983,"October 7, 1983 (United States)",6.2,63000.0,Irvin Kershner,Kevin McClory,Sean Connery,United Kingdom,36000000.0,55432841.0,TaliaFilm II Productions,134.0
A Christmas Story,PG,Comedy,1983,"November 18, 1983 (United States)",7.9,134000.0,Bob Clark,Jean Shepherd,Peter Billingsley,United States,3300000.0,20653717.0,Metro-Goldwyn-Mayer (MGM),93.0
Cujo,R,Horror,1983,"August 12, 1983 (United States)",6.1,41000.0,Lewis Teague,Stephen King,Dee Wallace,United States,5000000.0,21156152.0,Sunn Classic Pictures,93.0
Sudden Impact,R,Action,1983,"December 9, 1983 (United States)",6.6,42000.0,Clint Eastwood,Harry Julian Fink,Clint Eastwood,United States,22000000.0,67642693.0,Warner Bros.,117.0
The Hunger,R,Drama,1983,"April 29, 1983 (United States)",6.7,24000.0,Tony Scott,James Costigan,Catherine Deneuve,United Kingdom,,5988322.0,Metro-Goldwyn-Mayer (MGM),97.0
Mr. Mom,PG,Comedy,1983,"August 19, 1983 (United States)",6.6,22000.0,Stan Dragoti,John Hughes,Michael Keaton,United States,,64783827.0,Sherwood Productions,91.0
Blue Thunder,R,Action,1983,"May 13, 1983 (United States)",6.4,18000.0,John Badham,Dan O'Bannon,Roy Scheider,United States,22000000.0,42313354.0,Columbia Pictures,109.0
Breathless,R,Action,1983,"May 13, 1983 (United States)",5.9,8700.0,Jim McBride,François Truffaut,Richard Gere,United States,7500000.0,19910002.0,Breathless Associates,100.0
Psycho II,R,Crime,1983,"June 3, 1983 (United States)",6.5,25000.0,Richard Franklin,Tom Holland,Anthony Perkins,United States,5000000.0,34725000.0,Universal Pictures,113.0
Local Hero,PG,Comedy,1983,"March 17, 1983 (United Kingdom)",7.4,22000.0,Bill Forsyth,Bill Forsyth,Burt Lancaster,United Kingdom,,5899678.0,Enigma Productions,111.0
Bad Boys,R,Crime,1983,"March 25, 1983 (United States)",7.2,14000.0,Rick Rosenthal,Richard Di Lello,Sean Penn,United States,,9190819.0,EMI Films,123.0
Silkwood,R,Biography,1983,"January 27, 1984 (United States)",7.2,19000.0,Mike Nichols,Nora Ephron,Meryl Streep,United States,10000000.0,35615609.0,ABC Motion Pictures,131.0
All the Right Moves,R,Drama,1983,"October 21, 1983 (United States)",5.9,16000.0,Michael Chapman,Michael Kane,Tom Cruise,United States,5600000.0,17233166.0,Lucille Ball Productions,91.0
The Keep,R,Drama,1983,"December 16, 1983 (United States)",5.7,11000.0,Michael Mann,F. Paul Wilson,Scott Glenn,United Kingdom,11000000.0,4218594.0,Paramount Pictures,96.0
My Tutor,R,Comedy,1983,"April 22, 1983 (United States)",5.2,3300.0,George Bowers,Joe Roberts,Matt Lattanzi,United States,,22587834.0,Marimark Productions,97.0
Yentl,PG,Drama,1983,"January 6, 1984 (United States)",6.6,13000.0,Barbra Streisand,Jack Rosenthal,Barbra Streisand,United Kingdom,12000000.0,40218899.0,Ladbroke,133.0
Fire and Ice,PG,Animation,1983,"August 26, 1983 (United States)",6.6,10000.0,Ralph Bakshi,Ralph Bakshi,Randy Norton,United States,1200000.0,760883.0,Polyc International BV,81.0
Eddie and the Cruisers,PG,Drama,1983,"September 23, 1983 (United States)",6.9,6900.0,Martin Davidson,Martin Davidson,Tom Berenger,United States,,4786789.0,Aurora,95.0
Yellowbeard,PG,Action,1983,"June 24, 1983 (United States)",6.0,7500.0,Mel Damski,Graham Chapman,Graham Chapman,United Kingdom,6500000.0,4300000.0,Seagoat Films,96.0
The Meaning of Life,R,Comedy,1983,"March 31, 1983 (United States)",7.5,115000.0,Terry Jones,Graham Chapman,John Cleese,United Kingdom,9000000.0,14949697.0,Celandine Films,107.0
Nostalghia,Not Rated,Drama,1983,March 1992 (United States),8.1,24000.0,Andrei Tarkovsky,Andrei Tarkovsky,Oleg Yankovskiy,Italy,,55269.0,Rai 2,125.0
Hot Dog... The Movie,R,Comedy,1983,"January 13, 1984 (United States)",5.0,3200.0,Peter Markle,Mike Marvin,David Naughton,United States,,20307325.0,Edward S. Feldman Productions,96.0
Smokey and the Bandit Part 3,PG,Action,1983,"August 12, 1983 (United States)",3.5,8200.0,Dick Lowry,Stuart Birnbaum,Jackie Gleason,United States,,5678950.0,Universal Pictures,85.0
Deathstalker,R,Action,1983,"September 16, 1983 (United States)",4.6,4600.0,James Sbardellati,Howard R. Cohen,Rick Hill,United States,457000.0,11919250.0,Aries Cinematográfica Argentina,80.0
Porky's II: The Next Day,R,Comedy,1983,"June 24, 1983 (United States)",5.0,11000.0,Bob Clark,Roger Swaybill,Dan Monahan,Canada,6500000.0,33759266.0,Astral Bellevue Pathé,98.0
Something Wicked This Way Comes,PG,Fantasy,1983,"April 29, 1983 (United States)",6.8,8600.0,Jack Clayton,Ray Bradbury,Jason Robards,United States,19000000.0,8400000.0,Walt Disney Productions,95.0
Tender Mercies,PG,Drama,1983,"March 4, 1983 (Canada)",7.4,9700.0,Bruce Beresford,Horton Foote,Robert Duvall,United States,,8443124.0,Antron Media Production,92.0
Star 80,R,Biography,1983,"February 3, 1984 (United States)",6.7,6000.0,Bob Fosse,Teresa Carpenter,Mariel Hemingway,United States,12000000.0,6472990.0,The Ladd Company,103.0
Gorky Park,R,Crime,1983,"December 16, 1983 (United States)",6.7,13000.0,Michael Apted,Martin Cruz Smith,William Hurt,United States,15000000.0,15856028.0,Eagle Associates.,128.0
Lone Wolf McQuade,PG,Action,1983,"April 15, 1983 (United States)",6.3,11000.0,Steve Carver,B.J. Nelson,Chuck Norris,United States,5000000.0,12232628.0,1818 Productions,107.0
Easy Money,R,Comedy,1983,"August 19, 1983 (United States)",6.3,8200.0,James Signorelli,Rodney Dangerfield,Rodney Dangerfield,United States,,29309766.0,Easy Money Associates,95.0
Merry Christmas Mr. Lawrence,R,Drama,1983,"September 2, 1983 (United States)",7.3,16000.0,Nagisa Ôshima,Lourens van der Post,David Bowie,United Kingdom,,2306560.0,National Film Trustee Company,123.0
Losin' It,R,Comedy,1983,"April 22, 1983 (United States)",4.9,4200.0,Curtis Hanson,Bill Norton,Tom Cruise,Canada,7000000.0,1246141.0,Tiberius Film Productions,100.0
Screwballs,R,Comedy,1983,"April 1, 1983 (United States)",4.7,3000.0,Rafal Zielinski,Linda Shayne,Peter Keleghan,Canada,800000.0,2082215.0,Millenium,80.0
Brainstorm,PG,Sci-Fi,1983,"September 30, 1983 (United States)",6.4,11000.0,Douglas Trumbull,Bruce Joel Rubin,Christopher Walken,United States,15000000.0,10219460.0,JF Productions,106.0
The Man with Two Brains,R,Comedy,1983,"June 3, 1983 (United States)",6.4,25000.0,Carl Reiner,George Gipe,Steve Martin,United States,,10353438.0,Aspen Film Society,93.0
Angel,R,Action,1983,"January 13, 1984 (United States)",5.7,2900.0,Robert Vincent O'Neil,Robert Vincent O'Neil,Cliff Gorman,United States,3000000.0,17488564.0,Adams Apple Film Company,94.0
10 to Midnight,R,Crime,1983,"March 11, 1983 (United States)",6.3,7200.0,J. Lee Thompson,William Roberts,Charles Bronson,United States,4520000.0,7175592.0,Cannon Films,101.0
Uncommon Valor,R,Action,1983,"December 16, 1983 (United States)",6.4,9300.0,Ted Kotcheff,Joe Gayton,Gene Hackman,United States,14500000.0,30503151.0,Paramount Pictures,105.0
Doctor Detroit,R,Comedy,1983,"May 6, 1983 (United States)",5.2,5400.0,Michael Pressman,Bruce Jay Friedman,Dan Aykroyd,United States,,10375893.0,Black Rhino Productions,89.0
Mortuary,R,Horror,1983,"September 2, 1983 (United States)",5.2,1900.0,Howard Avedis,Howard Avedis,Mary Beth McDonough,United States,250000.0,4319001.0,Hickmar Productions,93.0
Stroker Ace,PG,Action,1983,"July 1, 1983 (United States)",4.9,3700.0,Hal Needham,William Neely,Burt Reynolds,United States,,13000000.0,Universal Pictures,96.0
Sahara,PG,Adventure,1983,"March 2, 1984 (United States)",5.0,1500.0,Andrew V. McLaglen,Menahem Golan,Brooke Shields,United Kingdom,25000000.0,1402962.0,Cabal Film,111.0
Two of a Kind,PG,Comedy,1983,"December 16, 1983 (United States)",4.7,3900.0,John Herzfeld,John Herzfeld,John Travolta,United States,14000000.0,23646952.0,Twentieth Century Fox,88.0
Chained Heat,R,Action,1983,"May 27, 1983 (United States)",5.0,2100.0,Paul Nicholas,Aaron Butler,Linda Blair,United States,1250000.0,6149983.0,Heat GBR,95.0
Spacehunter: Adventures in the Forbidden Zone,PG,Action,1983,"May 20, 1983 (United States)",5.5,5500.0,Lamont Johnson,Stewart Harding,Peter Strauss,United States,14400000.0,16478265.0,Columbia Pictures,90.0
High Road to China,PG,Adventure,1983,"March 18, 1983 (United States)",6.1,5100.0,Brian G. Hutton,Jon Cleary,Tom Selleck,United States,19000000.0,28445927.0,City Films,105.0
Never Cry Wolf,PG,Adventure,1983,"January 27, 1984 (United States)",7.5,7800.0,Carroll Ballard,Farley Mowat,Charles Martin Smith,United States,,29600000.0,Walt Disney Pictures,105.0
The Pirates of Penzance,G,Comedy,1983,"February 18, 1983 (United States)",7.1,3300.0,Wilford Leach,W.S. Gilbert,Kevin Kline,United Kingdom,,694497.0,Universal Pictures,112.0
Rock & Rule,PG,Animation,1983,"July 24, 1987 (United States)",6.5,3400.0,Clive Smith,Patrick Loubert,Don Francks,Canada,8000000.0,30379.0,Nelvana,77.0
Hercules,PG,Adventure,1983,"August 26, 1983 (United States)",4.0,3600.0,Luigi Cozzi,Luigi Cozzi,Lou Ferrigno,Italy,2500000.0,10676194.0,Cannon Films Inc.,98.0
Educating Rita,PG,Comedy,1983,"October 28, 1983 (United States)",7.2,13000.0,Lewis Gilbert,Willy Russell,Michael Caine,United Kingdom,,14648076.0,Acorn Pictures,110.0
A Night in Heaven,R,Drama,1983,"November 18, 1983 (United States)",4.3,1200.0,John G. Avildsen,Joan Tewkesbury,Christopher Atkins,United States,,5563663.0,,83.0
Under Fire,R,Drama,1983,"October 21, 1983 (United States)",7.0,7200.0,Roger Spottiswoode,Ron Shelton,Nick Nolte,United States,9500000.0,5696391.0,Cinema '84,128.0
Amityville 3-D,PG,Horror,1983,"November 18, 1983 (United States)",4.1,6000.0,Richard Fleischer,David Ambrose,Tony Roberts,Mexico,6000000.0,6333135.0,De Laurentiis Entertainment Group (DEG),105.0
Testament,PG,Drama,1983,"January 5, 1984 (Argentina)",7.0,5800.0,Lynne Littman,Carol Amen,Jane Alexander,United States,,2044892.0,Paramount Pictures,90.0
The Osterman Weekend,R,Action,1983,"November 4, 1983 (United States)",5.9,8200.0,Sam Peckinpah,Robert Ludlum,Rutger Hauer,United States,6500000.0,6486797.0,Osterman Weekend Associates,103.0
Revenge of the Ninja,R,Action,1983,"September 16, 1983 (United States)",6.1,4700.0,Sam Firstenberg,James R. Silke,Shô Kosugi,United States,700000.0,13168027.0,Cannon Films,90.0
Zelig,PG,Comedy,1983,"August 25, 1983 (Argentina)",7.7,41000.0,Woody Allen,Woody Allen,Woody Allen,United States,,11798616.0,Jack Rollins & Charles H. Joffe Productions,79.0
Independence Day,R,Drama,1983,"September 9, 1983 (Denmark)",6.5,458.0,Robert Mandel,Alice Hoffman,Kathleen Quinlan,United States,,,Warner Bros.,110.0
Escape from the Bronx,R,Action,1983,"January 18, 1985 (United States)",4.6,2300.0,Enzo G. Castellari,Tito Carpi,Mark Gregory,Italy,,,Fulvia Film,89.0
To Be or Not to Be,PG,Comedy,1983,"December 16, 1983 (United States)",6.8,10000.0,Alan Johnson,Thomas Meehan,Mel Brooks,United States,9000000.0,13030214.0,Brooksfilms,107.0
Eureka,R,Drama,1983,"May 20, 1983 (United Kingdom)",6.0,3100.0,Nicolas Roeg,Marshall Houts,Gene Hackman,United Kingdom,,123572.0,Recorded Picture Company (RPC),130.0
The Wicked Lady,R,Adventure,1983,"October 28, 1983 (United States)",4.7,1100.0,Michael Winner,Leslie Arliss,Faye Dunaway,United Kingdom,8000000.0,724912.0,Golan-Globus Productions,98.0
Still Smokin,R,Comedy,1983,"May 6, 1983 (United States)",5.6,7400.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,,15543710.0,Paramount Pictures,91.0
"Yor, the Hunter from the Future",PG,Action,1983,"August 19, 1983 (United States)",4.4,2900.0,Antonio Margheriti,Juan Zanotto,Reb Brown,Italy,,2810199.0,Diamant Film,88.0
Of Unknown Origin,R,Horror,1983,"November 24, 1983 (United States)",6.1,2900.0,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,Canada,4000000.0,1080470.0,Warner Bros.,88.0
Curse of the Pink Panther,PG,Comedy,1983,"August 12, 1983 (United States)",4.3,5700.0,Blake Edwards,Blake Edwards,David Niven,United Kingdom,11000000.0,4491986.0,United Artists,109.0
D.C. Cab,R,Action,1983,"December 16, 1983 (United States)",5.5,4400.0,Joel Schumacher,Topper Carew,Max Gail,United States,8000000.0,16134627.0,RKO Pictures,100.0
Beyond the Limit,R,Drama,1983,"September 30, 1983 (United States)",5.7,1200.0,John Mackenzie,Graham Greene,Michael Caine,United Kingdom,11800000.0,5997566.0,World Film Services,104.0
The Survivors,R,Comedy,1983,"June 22, 1983 (United States)",5.8,4700.0,Michael Ritchie,Michael Leeson,Walter Matthau,United States,12000000.0,14000000.0,Rastar Films,103.0
The Lonely Lady,R,Drama,1983,"September 30, 1983 (United States)",3.0,938.0,Peter Sasdy,Harold Robbins,Pia Zadora,United States,5000000.0,1223200.0,Harold Robbins International Company,92.0
The Star Chamber,R,Crime,1983,"August 5, 1983 (United States)",6.3,6500.0,Peter Hyams,Roderick Taylor,Michael Douglas,United States,,5555305.0,Twentieth Century Fox,109.0
The Dresser,PG,Drama,1983,"December 6, 1983 (United States)",7.6,4900.0,Peter Yates,Ronald Harwood,Albert Finney,United Kingdom,,5310748.0,Columbia Pictures,118.0
The Lords of Discipline,R,Thriller,1983,"February 18, 1983 (United States)",6.6,2600.0,Franc Roddam,Pat Conroy,David Keith,United States,,11787127.0,Paramount Pictures,102.0
Cross Creek,PG,Biography,1983,"October 27, 1983 (Netherlands)",7.0,1700.0,Martin Ritt,Marjorie Kinnan Rawlings,Mary Steenburgen,United States,,,Thorn EMI Screen Entertainment,127.0
The Man Who Loved Women,R,Comedy,1983,"December 16, 1983 (United States)",5.3,2200.0,Blake Edwards,Blake Edwards,Burt Reynolds,United States,19000000.0,10964740.0,Delphi Films,110.0
Nightmares,R,Horror,1983,"September 9, 1983 (United States)",5.8,3000.0,Joseph Sargent,Christopher Crowe,Cristina Raines,United States,6000000.0,6670680.0,Universal Pictures,99.0
Deal of the Century,PG,Comedy,1983,"November 4, 1983 (United States)",4.6,3600.0,William Friedkin,Paul Brickman,Chevy Chase,United States,10000000.0,10369581.0,Warner Bros.,99.0
Eddie Macon's Run,PG,Action,1983,"March 25, 1983 (United States)",5.7,1100.0,Jeff Kanew,James McLendon,Kirk Douglas,United States,5000000.0,1262691.0,Universal Pictures,95.0
Max Dugan Returns,PG,Comedy,1983,"March 25, 1983 (United States)",6.6,3300.0,Herbert Ross,Neil Simon,Jason Robards,United States,,17613720.0,Twentieth Century Fox,98.0
The Sting II,PG,Comedy,1983,"February 18, 1983 (United States)",4.9,2100.0,Jeremy Kagan,David S. Ward,Jackie Gleason,United States,,6347072.0,Universal Pictures,101.0
Baby It's You,R,Comedy,1983,"March 4, 1983 (United States)",6.3,1700.0,John Sayles,Amy Robinson,Rosanna Arquette,United States,3000000.0,1867792.0,Double Play,105.0
Heat and Dust,R,Drama,1983,January 1983 (United Kingdom),6.6,1600.0,James Ivory,Ruth Prawer Jhabvala,Julie Christie,United Kingdom,,1772889.0,Merchant Ivory Productions,130.0
Going Berserk,R,Comedy,1983,"September 30, 1983 (United States)",5.2,1700.0,David Steinberg,Dana Olsen,John Candy,Canada,,,Les Productions Mutuelles Ltée,85.0
Daniel,R,Drama,1983,"February 10, 1984 (United Kingdom)",6.6,1200.0,Sidney Lumet,E.L. Doctorow,Timothy Hutton,United Kingdom,,687475.0,Paramount Pictures,130.0
Heart Like a Wheel,PG,Biography,1983,"April 1, 1983 (United States)",6.7,1300.0,Jonathan Kaplan,Ken Friedman,Bonnie Bedelia,United States,,272278.0,Aurora,113.0
Love Letters,R,Drama,1983,"April 27, 1984 (United States)",5.9,701.0,Amy Holden Jones,Amy Holden Jones,Jamie Lee Curtis,United States,550000.0,5269990.0,Millenium,88.0
Get Crazy,R,Comedy,1983,"August 5, 1983 (United States)",6.7,1100.0,Allan Arkush,Danny Opatoshu,Malcolm McDowell,United States,5500000.0,1645711.0,D & P Productions,92.0
Nate and Hayes,PG,Action,1983,"November 18, 1983 (United States)",6.2,2100.0,Ferdinand Fairfax,Lloyd Phillips,Tommy Lee Jones,New Zealand,12000000.0,1963756.0,Phillips Whitehouse Productions,99.0
Strange Invaders,PG,Horror,1983,"September 16, 1983 (United States)",5.5,2700.0,Michael Laughlin,Bill Condon,Paul Le Mat,United States,,1362303.0,EMI Films,94.0
The Black Stallion Returns,PG,Adventure,1983,"March 25, 1983 (United States)",6.0,2100.0,Robert Dalva,Walter Farley,Kelly Reno,United States,,12049514.0,Zoetrope Studios,103.0
